Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22341.00,22323.00,1/2/2025 9:00:00 AM,1/2/2025 9:00:00 AM,L,Profit target,($360.00),($360.00),$0.00,$0.00,$0.00,$0.00,$0.00,$360.00,$0.00,$360.00,1,
2,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22171.00,22177.50,1/3/2025 9:20:00 AM,1/3/2025 9:20:00 AM,S,Stop loss,($130.00),($490.00),$0.00,$0.00,$0.00,$0.00,$0.00,$130.00,$0.00,$130.00,1,
3,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22646.25,22646.25,1/6/2025 8:15:00 AM,1/6/2025 9:30:00 AM,S,Stop loss,$0.00,($490.00),$0.00,$0.00,$0.00,$0.00,$0.00,$435.00,$1850.00,$1850.00,16,
4,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22225.25,22197.00,1/9/2025 9:00:00 AM,1/9/2025 9:05:00 AM,L,Stop loss,($565.00),($1055.00),$0.00,$0.00,$0.00,$0.00,$0.00,$565.00,$75.00,$640.00,2,
5,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22190.00,22198.75,1/15/2025 9:00:00 AM,1/15/2025 9:00:00 AM,S,Stop loss,($175.00),($1230.00),$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,1,
6,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22362.25,22364.75,1/16/2025 8:30:00 AM,1/16/2025 8:30:00 AM,L,Profit target,$50.00,($1180.00),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$0.00,1,
7,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22825.00,22827.75,1/22/2025 8:30:00 AM,1/22/2025 8:30:00 AM,S,Stop loss,($55.00),($1235.00),$0.00,$0.00,$0.00,$0.00,$0.00,$55.00,$0.00,$55.00,1,
8,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22802.75,22821.75,1/23/2025 8:45:00 AM,1/23/2025 9:40:00 AM,S,Stop loss,($380.00),($1615.00),$0.00,$0.00,$0.00,$0.00,$0.00,$380.00,$495.00,$875.00,12,
9,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22698.50,22699.75,1/31/2025 8:15:00 AM,1/31/2025 8:15:00 AM,L,Profit target,$25.00,($1590.00),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$0.00,1,
10,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22115.00,22160.25,2/3/2025 8:40:00 AM,2/3/2025 9:35:00 AM,S,Stop loss,($905.00),($2495.00),$0.00,$0.00,$0.00,$0.00,$0.00,$905.00,$560.00,$1465.00,12,
11,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22792.50,22759.00,2/7/2025 8:50:00 AM,2/7/2025 8:55:00 AM,L,Stop loss,($670.00),($3165.00),$0.00,$0.00,$0.00,$0.00,$0.00,$670.00,$0.00,$670.00,2,
12,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22651.25,22647.50,2/10/2025 8:05:00 AM,2/10/2025 8:05:00 AM,L,Profit target,($75.00),($3240.00),$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$0.00,$75.00,1,
13,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22730.25,22734.75,2/12/2025 8:00:00 AM,2/12/2025 8:00:00 AM,S,Stop loss,($90.00),($3330.00),$0.00,$0.00,$0.00,$0.00,$0.00,$90.00,$0.00,$90.00,1,
14,NQ MAR26,Backtest,TtradesReversalV3,Short,1,23205.00,23214.50,2/18/2025 8:25:00 AM,2/18/2025 8:25:00 AM,S,Stop loss,($190.00),($3520.00),$0.00,$0.00,$0.00,$0.00,$0.00,$190.00,$0.00,$190.00,1,
15,NQ MAR26,Backtest,TtradesReversalV3,Short,1,23140.75,23040.25,2/19/2025 8:05:00 AM,2/19/2025 10:10:00 AM,S,Profit target,$2010.00,($1510.00),$0.00,$0.00,$0.00,$0.00,$0.00,$245.00,$2010.00,$0.00,26,
16,NQ MAR26,Backtest,TtradesReversalV3,Short,1,23124.75,23131.75,2/21/2025 9:30:00 AM,2/21/2025 9:30:00 AM,S,Stop loss,($140.00),($1650.00),$0.00,$0.00,$0.00,$0.00,$0.00,$140.00,$0.00,$140.00,1,
17,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22675.00,22708.25,2/24/2025 8:05:00 AM,2/24/2025 9:00:00 AM,L,Profit target,$665.00,($985.00),$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,$665.00,$0.00,12,
18,NQ MAR26,Backtest,TtradesReversalV3,Long,1,22199.00,22187.25,2/26/2025 8:55:00 AM,2/26/2025 8:55:00 AM,L,Stop loss,($235.00),($1220.00),$0.00,$0.00,$0.00,$0.00,$0.00,$235.00,$0.00,$235.00,1,
19,NQ MAR26,Backtest,TtradesReversalV3,Short,1,22282.00,22181.50,2/27/2025 8:25:00 AM,2/27/2025 8:55:00 AM,S,Profit target,$2010.00,$790.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,$2010.00,$0.00,7,
20,NQ MAR26,Backtest,TtradesReversalV3,Long,1,21539.00,21492.50,2/28/2025 8:45:00 AM,2/28/2025 9:30:00 AM,L,Stop loss,($930.00),($140.00),$0.00,$0.00,$0.00,$0.00,$0.00,$930.00,$445.00,$1375.00,10,
21,NQ MAR26,Backtest,TtradesReversalV3,Long,1,21374.50,21343.25,3/5/2025 8:40:00 AM,3/5/2025 8:45:00 AM,L,Stop loss,($625.00),($765.00),$0.00,$0.00,$0.00,$0.00,$0.00,$625.00,$5.00,$630.00,2,
22,NQ MAR26,Backtest,TtradesReversalV3,Long,1,21276.25,21266.50,3/6/2025 8:40:00 AM,3/6/2025 8:45:00 AM,L,Stop loss,($195.00),($960.00),$0.00,$0.00,$0.00,$0.00,$0.00,$195.00,$415.00,$610.00,2,
23,NQ MAR26,Backtest,TtradesReversalV3,Long,1,21036.00,21003.25,3/7/2025 8:05:00 AM,3/7/2025 8:20:00 AM,L,Stop loss,($655.00),($1615.00),$0.00,$0.00,$0.00,$0.00,$0.00,$655.00,$215.00,$870.00,4,
24,NQ MAR26,Backtest,TtradesReversalV3,Short,1,20437.75,20437.75,3/11/2025 8:15:00 AM,3/11/2025 8:25:00 AM,S,Stop loss,$0.00,($1615.00),$0.00,$0.00,$0.00,$0.00,$0.00,$145.00,$1200.00,$1200.00,3,
25,NQ MAR26,Backtest,TtradesReversalV3,Long,1,20451.75,20418.75,3/13/2025 8:00:00 AM,3/13/2025 8:00:00 AM,L,Stop loss,($660.00),($2275.00),$0.00,$0.00,$0.00,$0.00,$0.00,$660.00,$0.00,$660.00,1,
26,NQ MAR26,Backtest,TtradesReversalV3,Short,1,20637.75,20657.75,3/17/2025 9:10:00 AM,3/17/2025 9:10:00 AM,S,Stop loss,($400.00),($2675.00),$0.00,$0.00,$0.00,$0.00,$0.00,$400.00,$0.00,$400.00,1,
27,NQ MAR26,Backtest,TtradesReversalV3,Long,1,20659.00,20642.25,3/18/2025 8:20:00 AM,3/18/2025 8:20:00 AM,L,Stop loss,($335.00),($3010.00),$0.00,$0.00,$0.00,$0.00,$0.00,$335.00,$0.00,$335.00,1,
28,NQ MAR26,Backtest,TtradesReversalV3,Short,1,20481.00,20489.75,3/19/2025 8:05:00 AM,3/19/2025 8:05:00 AM,S,Stop loss,($175.00),($3185.00),$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,1,
29,NQ MAR26,Backtest,TtradesReversalV3,Long,1,20527.50,20499.75,3/20/2025 9:20:00 AM,3/20/2025 9:30:00 AM,L,Stop loss,($555.00),($3740.00),$0.00,$0.00,$0.00,$0.00,$0.00,$555.00,$100.00,$655.00,3,
30,NQ MAR26,Backtest,TtradesReversalV3,Short,1,20511.25,20443.75,3/21/2025 8:30:00 AM,3/21/2025 8:45:00 AM,S,Profit target,$1350.00,($2390.00),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$0.00,4,
