Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6056.25,6024.75,1/14/2025 10:30:00 AM,1/14/2025 11:10:00 AM,LumiShort,PartialProfit,$3150.00,$3150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$4725.00,$1575.00,9,
2,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6056.25,6009.00,1/14/2025 10:30:00 AM,1/14/2025 12:00:00 PM,LumiShort,Profit target,$4725.00,$7875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$4725.00,$0.00,19,
3,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,4,6134.25,6153.25,1/15/2025 11:25:00 AM,1/15/2025 2:30:00 PM,LumiShort,Stop loss,($3800.00),$4075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3800.00,$3550.00,$7350.00,38,
4,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6213.00,6209.50,2/5/2025 10:50:00 AM,2/5/2025 10:55:00 AM,LumiShort,PartialProfit,$350.00,$4425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$350.00,$575.00,$225.00,2,
5,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6213.00,6216.50,2/5/2025 10:50:00 AM,2/5/2025 11:10:00 AM,LumiShort,Stop loss,($350.00),$4075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$350.00,$575.00,$925.00,5,
6,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6262.00,6255.50,2/6/2025 10:20:00 AM,2/6/2025 10:30:00 AM,LumiShort,PartialProfit,$650.00,$4725.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,$1600.00,$950.00,3,
7,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Short,2,6262.00,6260.50,2/6/2025 10:20:00 AM,2/6/2025 12:25:00 PM,LumiShort,Stop loss,$150.00,$4875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,$1600.00,$1450.00,26,
8,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,4,6299.25,6287.50,2/18/2025 11:35:00 AM,2/18/2025 2:10:00 PM,LumiLong,Stop loss,($2350.00),$2525.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2350.00,$1000.00,$3350.00,32,
9,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,2,6298.50,6307.00,2/19/2025 10:45:00 AM,2/19/2025 11:20:00 AM,LumiLong,PartialProfit,$850.00,$3375.00,$0.00,$0.00,$0.00,$0.00,$0.00,$625.00,$900.00,$50.00,8,
10,ES DEC25,Backtest,LumiTradersLiquiditySweepES,Long,2,6298.50,6306.25,2/19/2025 10:45:00 AM,2/19/2025 11:45:00 AM,LumiLong,ConsolidationExit,$775.00,$4150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$625.00,$900.00,$125.00,13,
