Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6104.25,6093.25,1/10/2025 7:30:00 AM,1/10/2025 8:35:00 AM,FractalLongV5,Stop loss,($550.00),($550.00),$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$400.00,$950.00,14,
2,ES DEC25,Backtest,TTradesFractalModelV5,Short,1,6044.00,6051.25,1/14/2025 10:25:00 PM,1/15/2025 4:45:00 AM,FractalShortV5,Stop loss,($362.50),($912.50),$0.00,$0.00,$0.00,$0.00,$0.00,$362.50,$187.50,$550.00,77,
3,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6162.50,6141.75,1/16/2025 5:20:00 AM,1/16/2025 10:00:00 AM,FractalLongV5,Stop loss,($1037.50),($1950.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1037.50,$412.50,$1450.00,57,
4,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6242.50,6252.00,1/21/2025 2:35:00 PM,1/21/2025 5:00:00 PM,FractalLongV5,Exit on session close,$475.00,($1475.00),$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$575.00,$100.00,30,
5,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6276.00,6290.50,1/22/2025 9:40:00 AM,1/22/2025 11:35:00 AM,FractalLongV5,Profit target,$725.00,($750.00),$0.00,$0.00,$0.00,$0.00,$0.00,$187.50,$725.00,$0.00,24,
6,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6269.25,6276.50,1/23/2025 7:25:00 AM,1/23/2025 8:35:00 AM,FractalLongV5,Profit target,$362.50,($387.50),$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$362.50,$0.00,15,
7,ES DEC25,Backtest,TTradesFractalModelV5,Short,1,6251.25,6264.25,1/30/2025 5:15:00 AM,1/30/2025 9:50:00 AM,FractalShortV5,Stop loss,($650.00),($1037.50),$0.00,$0.00,$0.00,$0.00,$0.00,$650.00,$812.50,$1462.50,56,
8,ES DEC25,Backtest,TTradesFractalModelV5,Short,1,6240.50,6272.50,1/30/2025 12:20:00 PM,1/30/2025 3:05:00 PM,FractalShortV5,Stop loss,($1600.00),($2637.50),$0.00,$0.00,$0.00,$0.00,$0.00,$1600.00,$475.00,$2075.00,34,
9,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6275.25,6256.75,2/7/2025 9:40:00 AM,2/7/2025 10:05:00 AM,FractalLongV5,Stop loss,($925.00),($3562.50),$0.00,$0.00,$0.00,$0.00,$0.00,$925.00,$437.50,$1362.50,6,
10,ES DEC25,Backtest,TTradesFractalModelV5,Long,1,6243.75,6285.25,2/13/2025 9:15:00 AM,2/13/2025 2:35:00 PM,FractalLongV5,Profit target,$2075.00,($1487.50),$0.00,$0.00,$0.00,$0.00,$0.00,$637.50,$2075.00,$0.00,65,
11,ES DEC25,Backtest,TTradesFractalModelV5,Short,1,6305.25,6306.75,2/17/2025 12:05:00 PM,2/17/2025 1:00:00 PM,FractalShortV5,Exit on session close,($75.00),($1562.50),$0.00,$0.00,$0.00,$0.00,$0.00,$112.50,$75.00,$150.00,12,
12,ES DEC25,Backtest,TTradesFractalModelV5,Short,1,6300.25,6305.50,2/18/2025 11:05:00 AM,2/18/2025 5:00:00 PM,FractalShortV5,Exit on session close,($262.50),($1825.00),$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$1062.50,$1325.00,72,
