Performance,All trades,Long trades,Short trades,
Total net profit,($87.50),$1087.50,($1175.00),
Gross profit,$2975.00,$1487.50,$1487.50,
Gross loss,($3062.50),($400.00),($2662.50),
Commission,$0.00,$0.00,$0.00,
Profit factor,0.97,3.72,0.56,
Max. drawdown,($3062.50),($400.00),($2662.50),
Sharpe ratio,-0.03,0.33,-0.21,
Sortino ratio,-0.05,1.21,-0.29,
Ulcer index,0.01,0.00,0.01,
R squared,0.32,0.38,0.61,
Total Fees,$0.00,$0.00,$0.00,
Probability,55.40%,8.78%,82.69%,
,,,,
Start date,1/1/2025,,,
Start time,12:00 AM,,,
End date,1/7/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,16,5,11,
Percent profitable,31.25%,60.00%,18.18%,
# of winning trades,5,3,2,
# of losing trades,11,2,9,
# of even trades,0,0,0,
,,,,
Total slippage,13.5,3.5,10,
,,,,
Avg. trade,($5.47),$217.50,($106.82),
Avg. winning trade,$595.00,$495.83,$743.75,
Avg. losing trade,($278.41),($200.00),($295.83),
Ratio avg. win / avg. loss,2.14,2.48,2.51,
,,,,
Max. consec. winners,4,2,2,
Max. consec. losers,11,2,9,
Largest winning trade,$1037.50,$662.50,$1037.50,
Largest losing trade,($512.50),($225.00),($512.50),
,,,,
Avg. # of trades per day,0.07,0.02,0.05,
Avg. time in market,34.38 min,48.00 min,28.18 min,
Avg. bars in trade,6.88,9.60,5.64,
Profit per month,($8.11),$100.82,($112.70),
Max. time to recover,328.26 days,223.29 days,316.97 days,
Longest flat period,127.84 days,210.02 days,127.84 days,
,,,,
Avg. MAE,$225.00,$132.50,$267.05,
Avg. MFE,$262.50,$325.00,$234.09,
Avg. ETD,$267.97,$107.50,$340.91,
