Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Short,1,22086.50,22025.50,1/2/2025 8:00:00 AM,1/2/2025 9:05:00 AM,LumiShort,Profit target,$1220.00,$1220.00,$0.00,$0.00,$0.00,$0.00,$0.00,$710.00,$1220.00,$0.00,14,
2,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Long,1,21880.00,21930.75,1/3/2025 7:40:00 AM,1/3/2025 9:20:00 AM,LumiLong,Profit target,$1015.00,$2235.00,$0.00,$0.00,$0.00,$0.00,$0.00,$70.00,$1015.00,$0.00,21,
3,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Short,1,22386.00,22316.75,1/6/2025 8:30:00 AM,1/6/2025 9:20:00 AM,LumiShort,Profit target,$1385.00,$3620.00,$0.00,$0.00,$0.00,$0.00,$0.00,$510.00,$1385.00,$0.00,11,
4,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Short,1,22414.25,22435.25,1/7/2025 9:55:00 AM,1/7/2025 9:55:00 AM,LumiShort,Stop loss,($420.00),$3200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$420.00,$0.00,$420.00,1,
5,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Long,1,21961.75,21972.75,1/8/2025 8:05:00 PM,1/8/2025 8:10:00 PM,LumiLong,Sell,$220.00,$3420.00,$0.00,$0.00,$0.00,$0.00,$0.00,$115.00,$255.00,$35.00,2,
6,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Long,1,21947.50,21957.00,1/9/2025 9:30:00 AM,1/9/2025 9:30:00 AM,LumiLong,Exit on session close,$190.00,$3610.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$365.00,$175.00,1,
7,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Long,1,21614.50,21589.75,1/10/2025 11:15:00 AM,1/10/2025 11:15:00 AM,LumiLong,Stop loss,($495.00),$3115.00,$0.00,$0.00,$0.00,$0.00,$0.00,$495.00,$0.00,$495.00,1,
8,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Short,1,21682.50,21683.00,1/13/2025 9:00:00 PM,1/13/2025 9:05:00 PM,LumiShort,Buy to cover,($10.00),$3105.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,$65.00,$75.00,2,
9,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Long,1,21539.75,21552.50,1/14/2025 1:15:00 PM,1/14/2025 1:20:00 PM,LumiLong,Profit target,$255.00,$3360.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00,$255.00,$0.00,2,
10,NQ DEC25,Backtest,LumiTradersLiquiditySweep,Short,1,21643.25,21672.25,1/15/2025 7:40:00 AM,1/15/2025 8:35:00 AM,LumiShort,Stop loss,($580.00),$2780.00,$0.00,$0.00,$0.00,$0.00,$0.00,$580.00,$150.00,$730.00,12,
